region,year,capacity
p58,2016,1.1
p63,2016,1.0
p66,2016,105.0
p68,2016,11.7
p7,2016,56.2
p70,2016,4.1
p72,2016,5.6
p79,2016,2.1
p8,2016,4.5
p83,2016,2.0
p84,2016,5.8
p85,2016,1.0
p88,2016,3.1
p9,2016,104.98
p90,2016,75.0
p92,2016,24.0
p94,2016,724.4
p96,2016,16.8
p97,2016,157.9
p98,2016,609.0
p99,2016,139.0
p10,2017,791.01
p101,2017,192.6
p103,2017,61.5
p105,2017,31.82
p107,2017,4.38
p109,2017,11.2
p11,2017,12.2
p110,2017,4.0
p111,2017,23.0
p112,2017,1.9
p12,2017,403.1
p121,2017,5.0
p125,2017,1.2
p126,2017,43.9
p127,2017,46.1
p129,2017,8.5
p13,2017,79.0
p131,2017,91.0
p132,2017,11.0
p134,2017,15.5
p16,2017,120.0
p25,2017,1.3
p28,2017,67.7
p29,2017,35.7
p31,2017,10.0
p33,2017,22.1
p34,2017,18.0
p35,2017,17.0
p41,2017,9.4
p42,2017,4.6
p43,2017,209.58
p47,2017,35.0
p5,2017,6.96
p50,2017,18.0
p53,2017,3.0
p57,2017,278.9
p63,2017,15.9
p66,2017,372.3
p68,2017,37.22
p7,2017,117.34
p70,2017,4.7
p72,2017,7.5
p75,2017,11.8
p76,2017,1.5
p79,2017,2.0
p8,2017,10.1
p84,2017,10.9
p85,2017,6.0
p88,2017,157.5
p9,2017,65.9
p90,2017,97.2
p92,2017,16.0
p94,2017,14.4
p96,2017,236.3
p97,2017,52.3
p98,2017,940.79
p99,2017,288.6
p10,2018,807.44
p101,2018,804.2
p102,2018,74.9
p103,2018,25.2
p105,2018,11.2
p107,2018,6.0
p11,2018,74.8
p111,2018,5.1
p112,2018,9.0
p12,2018,22.02
p121,2018,2.3
p122,2018,4.5
p123,2018,98.6
p125,2018,2.6
p126,2018,72.1
p127,2018,137.6
p129,2018,28.8
p13,2018,1.08
p131,2018,55.3
p132,2018,56.3
p24,2018,92.0
p25,2018,2.0
p28,2018,1.0
p29,2018,79.3
p3,2018,19.2
p31,2018,21.0
p33,2018,56.0
p34,2018,14.5
p41,2018,2.3
p42,2018,7.0
p43,2018,185.2
p47,2018,18.0
p5,2018,26.0
p50,2018,10.0
p57,2018,389.0
p63,2018,62.6
p66,2018,209.0
p68,2018,36.2
p7,2018,60.3
p72,2018,9.4
p76,2018,1.0
p79,2018,2.5
p8,2018,20.4
p84,2018,4.1
p85,2018,84.0
p9,2018,47.16
p90,2018,14.7
p92,2018,89.0
p94,2018,42.0
p96,2018,90.4
p97,2018,114.8
p98,2018,611.7
p99,2018,58.0
p10,2019,929.8
p101,2019,588.5
p102,2019,149.4
p103,2019,1.8
p105,2019,19.7
p107,2019,8.4
p110,2019,1.7
p111,2019,1.9
p112,2019,18.9
p12,2019,710.72
p122,2019,20.1
p123,2019,38.2
p124,2019,142.4
p125,2019,3.0
p126,2019,84.5
p127,2019,223.87
p128,2019,9.13
p129,2019,2.2
p13,2019,11.08
p130,2019,2.4
p131,2019,70.7
p132,2019,42.4
p133,2019,64.1
p26,2019,57.6
p28,2019,4.2
p29,2019,28.0
p31,2019,34.0
p33,2019,25.3
p34,2019,44.7
p41,2019,5.3
p42,2019,12.9
p43,2019,114.0
p47,2019,75.7
p5,2019,4.1
p53,2019,6.0
p57,2019,107.5
p58,2019,23.4
p63,2019,10.0
p66,2019,379.5
p68,2019,25.2
p7,2019,83.8
p70,2019,6.1
p75,2019,12.1
p79,2019,6.5
p8,2019,6.4
p81,2019,1.3
p83,2019,3.1
p84,2019,1.6
p85,2019,3.2
p88,2019,57.5
p9,2019,26.4
p92,2019,2.3
p94,2019,443.0
p96,2019,303.1
p97,2019,64.0
p98,2019,441.7
p99,2019,19.8
p10,2020,1280.11
p101,2020,893.17
p102,2020,746.53
p103,2020,108.0
p105,2020,24.8
p107,2020,23.3
p11,2020,108.79
p111,2020,2.6
p12,2020,217.9
p121,2020,4.5
p122,2020,68.0
p123,2020,35.2
p124,2020,165.0
p126,2020,88.3
p127,2020,219.1
p128,2020,5.0
p129,2020,2.2
p13,2020,42.1
p131,2020,55.5
p132,2020,27.6
p134,2020,49.4
p25,2020,279.0
p28,2020,127.14
p29,2020,165.36
p3,2020,3.2
p31,2020,59.7
p33,2020,15.0
p34,2020,67.4
p41,2020,4.4
p42,2020,14.9
p43,2020,96.5
p47,2020,2.4
p5,2020,47.6
p50,2020,10.0
p53,2020,20.0
p57,2020,1022.94
p58,2020,50.0
p66,2020,1050.36
p68,2020,12.7
p7,2020,128.1
p70,2020,4.6
p75,2020,157.9
p79,2020,17.6
p8,2020,12.3
p80,2020,25.3
p81,2020,9.7
p83,2020,48.3
p85,2020,103.5
p9,2020,42.2
p92,2020,1.5
p94,2020,730.1
p96,2020,455.3
p97,2020,72.9
p98,2020,547.9
p99,2020,514.4
p10,2021,961.9
p101,2021,507.0
p102,2021,596.8
p103,2021,126.9
p105,2021,237.93
p107,2021,90.77
p11,2021,100.0
p111,2021,260.43
p112,2021,104.07
p12,2021,546.6
p121,2021,5.2
p122,2021,7.4
p123,2021,45.0
p124,2021,240.0
p126,2021,36.6
p127,2021,344.6
p129,2021,12.2
p13,2021,154.4
p131,2021,62.1
p132,2021,88.1
p133,2021,38.4
p134,2021,136.4
p25,2021,80.0
p26,2021,184.0
p28,2021,100.0
p29,2021,250.0
p33,2021,22.6
p34,2021,359.6
p41,2021,4.4
p42,2021,3.0
p43,2021,79.38
p47,2021,2.0
p5,2021,34.52
p50,2021,2.0
p53,2021,3.0
p57,2021,1529.3
p63,2021,1.8
p66,2021,1780.99
p68,2021,5.22
p7,2021,120.58
p70,2021,100.0
p72,2021,10.0
p75,2021,266.64
p76,2021,0.76
p79,2021,38.21
p8,2021,12.2
p80,2021,257.04
p81,2021,18.7
p83,2021,263.26
p84,2021,3.4
p85,2021,13.3
p88,2021,1.2
p9,2021,57.0
p90,2021,227.0
p92,2021,9.0
p94,2021,655.9
p96,2021,27.5
p97,2021,81.9
p98,2021,520.7
p99,2021,648.1
p10,2022,1563.66
p101,2022,665.8
p102,2022,448.6
p103,2022,355.4
p105,2022,28.6
p107,2022,5.4
p109,2022,50.0
p11,2022,219.35
p111,2022,2.4
p112,2022,2.0
p12,2022,105.0
p121,2022,1.5
p122,2022,20.0
p123,2022,110.3
p124,2022,325.0
p125,2022,51.5
p126,2022,19.6
p127,2022,275.35
p128,2022,16.45
p129,2022,5.5
p131,2022,33.4
p132,2022,27.2
p133,2022,49.2
p134,2022,154.2
p16,2022,120.0
p2,2022,32.15
p26,2022,81.5
p29,2022,200.0
p3,2022,132.85
p33,2022,20.2
p34,2022,214.8
p41,2022,8.5
p42,2022,1.0
p43,2022,44.6
p47,2022,52.0
p5,2022,4.5
p50,2022,5.0
p53,2022,3.3
p57,2022,3.0
p58,2022,50.0
p63,2022,18.0
p66,2022,2506.9
p68,2022,4.0
p7,2022,10.6
p70,2022,142.5
p72,2022,5.7
p75,2022,267.8
p76,2022,1.9
p79,2022,1.0
p8,2022,7.5
p80,2022,7.8
p81,2022,1.5
p83,2022,230.9
p84,2022,8.0
p85,2022,13.2
p88,2022,100.0
p9,2022,39.6
p92,2022,170.71
p94,2022,555.9
p96,2022,198.1
p97,2022,23.8
p98,2022,253.3
p99,2022,322.7
p10,2023,1337.01
p101,2023,953.24
p102,2023,847.16
p103,2023,267.5
p105,2023,437.4
p107,2023,211.3
p109,2023,2.5
p11,2023,250.0
p110,2023,2.0
p111,2023,1137.0
p112,2023,137.2
p12,2023,919.8
p121,2023,2.2
p122,2023,515.6
p123,2023,56.5
p126,2023,51.5
p127,2023,293.7
p129,2023,7.2
p130,2023,1.1
p131,2023,19.6
p132,2023,2.5
p133,2023,97.0
p134,2023,130.5
p16,2023,40.0
p25,2023,72.0
p26,2023,14.5
p28,2023,308.0
p29,2023,337.6
p31,2023,100.0
p33,2023,264.0
p34,2023,22.0
p35,2023,160.0
p38,2023,80.0
p42,2023,2.0
p43,2023,96.9
p47,2023,220.0
p53,2023,3.9
p57,2023,1388.6
p58,2023,220.0
p63,2023,49.6
p66,2023,2196.3
p68,2023,2.0
p7,2023,217.0
p72,2023,10.0
p75,2023,778.63
p76,2023,0.17
p79,2023,82.6
p8,2023,1.3
p80,2023,277.4
p81,2023,1.7
p83,2023,59.6
p85,2023,472.7
p88,2023,106.3
p9,2023,47.7
p90,2023,180.0
p92,2023,221.8
p94,2023,496.5
p96,2023,218.5
p97,2023,5.5
p98,2023,519.3
p99,2023,724.29
p10,2024,1050.38
p101,2024,1140.5
p102,2024,1939.01
p103,2024,308.0
p105,2024,1496.42
p107,2024,139.67
p109,2024,218.47
p11,2024,177.27
p110,2024,288.33
p111,2024,1296.31
p112,2024,345.29
p116,2024,124.4
p12,2024,733.74
p121,2024,3.0
p122,2024,219.4
p123,2024,45.3
p124,2024,435.6
p125,2024,4.3
p126,2024,21.0
p127,2024,385.1
p128,2024,165.0
p13,2024,0.35
p131,2024,31.1
p132,2024,164.9
p133,2024,20.0
p134,2024,236.7
p16,2024,100.0
p2,2024,78.84
p24,2024,150.0
p25,2024,205.0
p26,2024,356.5
p28,2024,766.54
p29,2024,695.96
p3,2024,1.16
p31,2024,400.0
p33,2024,169.2
p34,2024,363.4
p38,2024,128.0
p41,2024,81.0
