region,year,capacity
p125,2018,2.6
p126,2018,72.1
p127,2018,112.7
p128,2018,24.9
p129,2018,28.8
p131,2018,55.3
p132,2018,56.3
p24,2018,92.0
p25,2018,2.0
p28,2018,1.0
p29,2018,79.3
p3,2018,19.2
p31,2018,21.0
p33,2018,56.0
p34,2018,14.5
p41,2018,2.3
p42,2018,8.7
p43,2018,189.8
p47,2018,18.0
p5,2018,36.0
p50,2018,10.0
p57,2018,446.0
p63,2018,10.0
p66,2018,204.6
p68,2018,29.9
p7,2018,50.3
p72,2018,9.4
p75,2018,3.5
p84,2018,4.1
p85,2018,84.0
p9,2018,1.0
p90,2018,14.7
p92,2018,89.0
p94,2018,42.0
p96,2018,90.4
p97,2018,32.0
p98,2018,694.5
p99,2018,58.0
p10,2019,956.6
p101,2019,290.5
p102,2019,447.4
p103,2019,1.8
p105,2019,21.7
p107,2019,6.4
p109,2019,0.75
p11,2019,6.0
p110,2019,0.95
p111,2019,1.9
p112,2019,18.9
p12,2019,721.8
p122,2019,20.1
p123,2019,38.2
p124,2019,142.4
p125,2019,3.0
p126,2019,84.5
p127,2019,228.0
p128,2019,5.0
p129,2019,2.2
p130,2019,2.4
p131,2019,70.7
p132,2019,42.4
p133,2019,64.1
p26,2019,57.6
p28,2019,2.4
p29,2019,29.8
p31,2019,21.6
p33,2019,20.3
p34,2019,49.7
p41,2019,5.3
p42,2019,15.9
p43,2019,113.3
p47,2019,88.1
p5,2019,2.2
p53,2019,6.0
p57,2019,12.5
p58,2019,23.4
p63,2019,10.0
p66,2019,474.5
p68,2019,22.9
p7,2019,85.7
p70,2019,6.1
p75,2019,14.1
p79,2019,4.5
p80,2019,1.5
p81,2019,1.3
p83,2019,1.6
p84,2019,1.6
p85,2019,3.2
p88,2019,57.5
p92,2019,2.3
p94,2019,443.0
p96,2019,303.1
p97,2019,31.4
p98,2019,474.3
p99,2019,19.8
p10,2020,1436.7
p101,2020,252.83
p102,2020,1386.87
p103,2020,108.0
p105,2020,37.8
p107,2020,10.3
p11,2020,6.7
p112,2020,2.6
p12,2020,260.0
p121,2020,2.0
p122,2020,68.0
p123,2020,37.7
p124,2020,165.0
p126,2020,90.6
p127,2020,224.1
p129,2020,2.2
p131,2020,55.5
p132,2020,27.6
p134,2020,49.4
p25,2020,279.0
p29,2020,292.5
p3,2020,3.2
p31,2020,62.1
p33,2020,2.8
p34,2020,79.6
p41,2020,4.4
p42,2020,3.0
p43,2020,109.2
p5,2020,89.7
p50,2020,10.0
p53,2020,20.0
p57,2020,1027.86
p58,2020,50.0
p63,2020,18.64
p66,2020,1026.8
p68,2020,11.9
p7,2020,86.0
p70,2020,4.6
p75,2020,173.2
